,Year,Count
0,1880,2632
1,1881,2456
2,1882,2670
3,1883,2515
4,1884,2708
5,1885,2540
6,1886,2594
7,1887,2456
8,1888,2993
9,1889,2729
10,1890,2670
11,1891,2572
12,1892,3064
13,1893,2997
14,1894,2977
15,1895,2992
16,1896,3051
17,1897,2827
18,1898,3171
19,1899,2679
20,1900,3714
21,1901,2766
22,1902,3098
23,1903,3121
24,1904,3291
25,1905,3302
26,1906,3527
27,1907,3844
28,1908,4162
29,1909,4348
30,1910,5228
31,1911,6488
32,1912,12062
33,1913,14471
34,1914,18828
35,1915,23050
36,1916,23884
37,1917,24763
38,1918,26262
39,1919,24266
40,1920,25592
41,1921,26178
42,1922,25703
43,1923,25558
44,1924,25432
45,1925,24607
46,1926,23765
47,1927,23499
48,1928,22318
49,1929,21154
50,1930,20977
51,1931,19322
52,1932,18556
53,1933,17155
54,1934,17101
55,1935,17185
56,1936,17447
57,1937,17311
58,1938,17738
59,1939,17715
60,1940,18201
61,1941,19799
62,1942,22423
63,1943,22817
64,1944,21169
65,1945,20820
66,1946,24279
67,1947,27513
68,1948,26805
69,1949,26417
70,1950,27033
71,1951,28113
72,1952,28528
73,1953,29217
74,1954,31206
75,1955,31587
76,1956,32702
77,1957,31814
78,1958,30086
79,1959,29527
80,1960,29757
81,1961,29447
82,1962,30093
83,1963,30100
84,1964,30568
85,1965,28662
86,1966,26992
87,1967,25941
88,1968,25404
89,1969,26200
90,1970,26734
91,1971,24512
92,1972,22465
93,1973,21324
94,1974,21844
95,1975,22144
96,1976,24074
97,1977,26487
98,1978,26679
99,1979,28665
100,1980,30189
101,1981,30765
102,1982,31038
103,1983,30447
104,1984,30506
105,1985,30209
106,1986,28820
107,1987,28503
108,1988,28997
109,1989,29871
110,1990,30122
111,1991,29835
112,1992,27886
113,1993,27004
114,1994,25723
115,1995,25337
116,1996,24744
117,1997,23581
118,1998,23170
119,1999,23203
120,2000,22818
121,2001,21994
122,2002,21887
123,2003,21349
124,2004,20113
125,2005,19195
126,2006,18427
127,2007,17314
128,2008,16543
129,2009,14895
130,2010,13798
131,2011,12918
132,2012,12503
133,2013,12167
134,2014,11995
