,Year,first_letter,Count,total,percentage
0,1880,A,16740,201484,8.308352027952592
1,1880,B,5991,201484,2.973437096742173
2,1880,C,15817,201484,7.850251136566675
3,1880,D,4706,201484,2.3356693335450953
4,1880,E,18338,201484,9.101467114014016
5,1880,F,9486,201484,4.708066149173136
6,1880,G,8737,201484,4.336324472414683
7,1880,H,10342,201484,5.132913779754224
8,1880,I,3427,201484,1.700879474300689
9,1880,J,26072,201484,12.939985309007168
10,1880,K,1620,201484,0.8040340672212185
11,1880,L,12799,201484,6.352365448373072
12,1880,M,22945,201484,11.388001032340037
13,1880,N,3919,201484,1.9450675984197257
14,1880,O,2704,201484,1.3420420480038118
15,1880,P,3080,201484,1.5286573623712056
16,1880,Q,36,201484,0.017867423716027078
17,1880,R,7857,201484,3.89956522602291
18,1880,S,6785,201484,3.367513053145659
19,1880,T,4067,201484,2.0185225625856145
20,1880,U,69,201484,0.03424589545571857
21,1880,V,1317,201484,0.653649917611324
22,1880,W,14367,201484,7.130591014671141
23,1880,Y,32,201484,0.015882154414246293
24,1880,Z,231,201484,0.11464930217784043
25,1881,A,16257,192699,8.436473463795869
26,1881,B,6006,192699,3.116777980165958
27,1881,C,14707,192699,7.632110182201258
28,1881,D,4466,192699,2.3176041390977637
29,1881,E,18247,192699,9.46917212855282
30,1881,F,8571,192699,4.4478694751918795
31,1881,G,8339,192699,4.327474454979009
32,1881,H,9648,192699,5.006772219886974
33,1881,I,3411,192699,1.7701181635607866
34,1881,J,24126,192699,12.520044214033286
35,1881,K,1577,192699,0.8183747710159367
36,1881,L,12770,192699,6.626915552234314
37,1881,M,22353,192699,11.599956408699578
38,1881,N,4047,192699,2.100166581040898
39,1881,O,2605,192699,1.3518492571315888
40,1881,P,2974,192699,1.5433396125563703
41,1881,Q,29,192699,0.015049377526608858
42,1881,R,7535,192699,3.910243436655094
43,1881,S,6496,192699,3.3710605659603843
44,1881,T,3661,192699,1.8998541767212076
45,1881,U,57,192699,0.029579811000576026
46,1881,V,1331,192699,0.6907145340660823
47,1881,W,13219,192699,6.859921431870431
48,1881,Y,22,192699,0.011416769158117063
49,1881,Z,245,192699,0.12714129289721274
50,1882,A,18790,221538,8.481614892253248
51,1882,B,7104,221538,3.20667334723614
52,1882,C,16665,221538,7.522411505023968
53,1882,D,5018,221538,2.2650741633489515
54,1882,E,21250,221538,9.59203387229279
55,1882,F,10038,221538,4.531051106356472
56,1882,G,9466,221538,4.272856124005814
57,1882,H,11039,221538,4.9828923254701225
58,1882,I,3720,221538,1.6791701649378437
59,1882,J,26910,221538,12.146900306042305
60,1882,K,1856,221538,0.8377795231517844
