,Year,Count
443,1880,15
2402,1881,18
6535,1883,17
8637,1884,18
11009,1885,15
13238,1886,20
15611,1887,22
18021,1888,24
20745,1889,19
23287,1890,24
25968,1891,24
28656,1892,25
31561,1893,27
34379,1894,30
37443,1895,23
40442,1896,27
43413,1897,36
46535,1898,32
49781,1899,30
52915,1900,30
56669,1901,23
59736,1902,32
63147,1903,28
66536,1904,30
70108,1905,30
73841,1906,26
77411,1907,33
81304,1908,39
85499,1909,27
89638,1910,38
94486,1911,23
99352,1912,31
105709,1913,34
112640,1914,44
120807,1915,39
129965,1916,58
139780,1917,49
149784,1918,45
160136,1919,48
170554,1920,47
181164,1921,61
192157,1922,50
202837,1923,56
213895,1924,34
224519,1925,43
235837,1926,22
245731,1927,38
256376,1928,28
266305,1929,34
276605,1930,21
286532,1931,18
295313,1932,29
305094,1933,19
314435,1934,15
323292,1935,19
332966,1936,12
341455,1937,16
350862,1938,12
359886,1939,12
369685,1940,8
377736,1941,13
386503,1942,17
396937,1943,10
405884,1944,12
415881,1945,8
426109,1946,6
445190,1948,9
455759,1949,8
466976,1950,6
476461,1951,8
488752,1952,5
509126,1954,7
532750,1956,5
542340,1957,8
555786,1958,5
578537,1960,6
602816,1962,6
628393,1964,5
687166,1969,12
701533,1970,11
731626,1972,11
767329,1974,5
780231,1975,9
797912,1976,8
815580,1977,8
834636,1978,7
852414,1979,8
870311,1980,10
889313,1981,11
908397,1982,12
929372,1983,9
947838,1984,11
969212,1985,8
986911,1986,13
1014343,1987,5
1028532,1988,16
1050288,1989,20
1075451,1990,15
1098898,1991,21
1123888,1992,22
1149284,1993,22
1173283,1994,47
1199178,1995,50
1224747,1996,69
1250850,1997,91
1277694,1998,103
1305547,1999,109
1333860,2000,144
1363508,2001,169
1393723,2002,177
1424010,2003,271
1455018,2004,369
1486923,2005,477
1519374,2006,592
1553385,2007,709
1588261,2008,806
1623231,2009,1012
1657933,2010,939
1691911,2011,1144
1725724,2012,1412
1759369,2013,1739
1792531,2014,2314
