,Year,Entropy,HHI,Top10_Share,Unique_Names
0,1880,5.682139688454104,111.98087455774113,26.634869270016477,2000
1,1881,5.701759843321198,105.25162930278144,25.574081858234866,1935
2,1882,5.75042469980669,99.77119735833683,24.726683458368313,2127
3,1883,5.772120577822399,93.68457858828857,23.63171237612353,2084
4,1884,5.8286322065835545,88.48842557203467,22.72628323345669,2297
5,1885,5.859036745004011,83.47482120135065,21.899898279047562,2294
6,1886,5.8797974387776035,81.39511504628709,21.37757080358297,2392
7,1887,5.898996157931739,78.22594568868031,20.61027664149784,2373
8,1888,5.9442036605599,74.70156900249468,19.875784693468677,2651
9,1889,5.953381340652651,72.8581685914545,19.252119743900327,2590
10,1890,5.982264547914383,70.20820507073091,18.650506632338207,2695
11,1891,5.9955850520683995,68.82062381065835,18.25776655341533,2660
12,1892,6.025738828366342,67.30214464145412,18.00330758441667,2921
13,1893,6.023789152730955,65.98096859110186,17.6509656451112,2831
14,1894,6.055318306775252,63.863488747590544,17.211110914276603,2941
15,1895,6.075823767775528,62.83825798439837,17.03795708604442,3049
16,1896,6.090401820437124,62.4395096190509,17.07376430109933,3091
17,1897,6.090184698228781,61.63380823611641,16.937687341480288,3028
18,1898,6.11711020694888,60.10149666556217,16.745267561991596,3264
19,1899,6.111237088098166,60.09619916094611,16.65571064306454,3042
20,1900,6.179407920887474,58.26917916004021,16.5193292873845,3731
21,1901,6.145494635524409,58.063430691009195,16.237685031765174,3153
22,1902,6.163030808808889,57.74831329928006,16.333622936576887,3362
23,1903,6.171470759093454,57.483871466108376,16.303215838114202,3389
24,1904,6.193611575354559,56.75233734339343,16.211560957233775,3561
25,1905,6.2068645194787315,56.43254281335832,16.0479587119175,3656
26,1906,6.196697441079501,57.50806803305287,16.26048517721525,3633
27,1907,6.229686106729284,56.391601622322284,16.15946746769976,3948
28,1908,6.2269425568455805,57.25640007474232,16.49623355441547,4018
29,1909,6.2522947600557135,56.67930702707767,16.569547383060755,4227
30,1910,6.276613080764561,56.86417589579218,16.55728019582915,4629
31,1911,6.2697158355057505,57.95056164021591,17.022600878207328,4867
32,1912,6.324895286494882,56.58842663636785,17.418688160899066,6351
33,1913,6.33204388592268,57.472575749358704,17.801112503572764,6967
34,1914,6.346259369752544,58.31276281331515,18.124280701258904,7963
35,1915,6.362968594526866,58.07362908106212,18.077934948160333,9358
36,1916,6.368982892779632,58.12865288775264,18.183260943062063,9696
37,1917,6.365563364797429,58.75660377667519,18.374210368693102,9915
38,1918,6.3685259368512295,58.732346602974665,18.44744618604411,10400
39,1919,6.381871511696323,58.36490499423706,18.4245891804649,10370
40,1920,6.362114168404041,60.46297295690378,18.984985499919123,10756
41,1921,6.3548483886622895,61.10873555956321,19.091771273478702,10856
42,1922,6.361807595319308,61.23563898490305,19.109158371942062,10757
43,1923,6.347278154897198,61.88343217857432,19.130309776599155,10643
44,1924,6.3472028133998,62.20221013210815,19.29105607217251,10867
45,1925,6.342099156004073,62.248303244329854,19.34569345693457,10642
46,1926,6.341978711923209,61.974528461999974,19.255086115613278,10461
47,1927,6.337942535925346,62.38962998658718,19.379986692809588,10407
48,1928,6.331341892444186,62.01361947958494,19.40556525047166,10160
49,1929,6.315978152297868,62.53775243535626,19.626049682101165,9815
50,1930,6.303683500613736,63.30171564703463,19.866150052835504,9789
51,1931,6.2864736668228165,63.64249610305752,19.826974782565706,9290
52,1932,6.297252273401804,62.969017806305224,19.666458530928054,9382
53,1933,6.295235405216201,62.506712377835065,19.67429059998389,9011
54,1934,6.286892777002967,62.65144007023371,19.627419533503826,9180
55,1935,6.261107609245836,64.7288345579018,20.143556058846784,9032
56,1936,6.254157739259365,64.25168913137165,19.86297742704518,8895
57,1937,6.257145679112438,64.07334207052311,19.55415995166608,8945
58,1938,6.2504918119072945,63.52972771088237,19.415239150895207,9029
59,1939,6.23774541983247,63.43037200635538,19.324558273893334,8919
60,1940,6.221474117148111,63.878924924913186,19.353364679820608,8961
61,1941,6.19452185680773,64.88399281745606,19.422134277010993,9084
62,1942,6.1703508831004354,66.29743851835217,19.501310538974025,9424
63,1943,6.157960458804846,67.20464659439504,19.530335288497795,9406
64,1944,6.151030649039991,67.3904375095174,19.581850338648877,9154
65,1945,6.152012865675194,66.90346482772549,19.554420919854124,9025
66,1946,6.12678367845048,67.7714411917114,19.647781387076762,9703
67,1947,6.117960303504709,69.8018205933193,20.298139825818108,10372
68,1948,6.1362325807632585,68.33087560757919,20.005370359266607,10235
69,1949,6.141277519768908,66.82946548998001,19.748461063838946,10262
70,1950,6.150668439856653,65.32848557260964,19.424445032368652,10307
71,1951,6.146567353293775,64.40097393047056,19.172198041792694,10460
72,1952,6.160707741531945,63.14512575469401,18.815443639402734,10655
73,1953,6.182818874598869,61.800455531325824,18.445688336130228,10832
74,1954,6.19679296816532,60.626243870136506,18.047848534928885,10961
75,1955,6.222495298256501,58.88265085102392,17.507106396828775,11112
76,1956,6.254153980588496,56.38325020432302,16.802241868035715,11343
77,1957,6.290686894743859,53.763270432278546,16.40661272096887,11562
78,1958,6.329278383359763,51.225246928631876,16.046002561721913,11520
79,1959,6.36168673311842,49.401363014190714,15.64469405298092,11767
80,1960,6.39095165508378,48.15401132760902,15.354252059660972,11925
81,1961,6.407620083859079,47.926297954821315,15.4026819536511,12177
82,1962,6.4213694885747445,47.32846284994718,15.239426756532598,12204
83,1963,6.430512404069155,47.72004707942602,15.521529326299857,12279
84,1964,6.446534232397423,47.88194338820159,15.644220065310927,12394
85,1965,6.444851147531081,48.03934407717792,15.474692523864714,11952
86,1966,6.4570657693889295,48.065641695669434,15.32703536879803,12148
87,1967,6.4777903645290955,48.018556192507425,15.334738612978976,12399
88,1968,6.508866814271581,47.51730323666179,15.205098739845832,12928
89,1969,6.5558023515513835,45.879265604071996,14.739266984383661,13749
90,1970,6.604234713906945,44.37566751383211,14.540761102307512,14777
91,1971,6.657113329598262,43.15754111559894,14.430607491065281,15288
92,1972,6.685753363080128,43.84968532016089,14.988464784113498,15412
93,1973,6.724851075302723,43.137730417343256,14.945333468987501,15674
94,1974,6.744323403742531,43.167534435321,14.996852509999941,16244
95,1975,6.789020323611512,41.60612608509652,14.486874757028861,16931
96,1976,6.793345496660156,41.43333805872727,14.222668863261944,17394
97,1977,6.81183742010311,40.7204129014214,13.929506928772515,18171
98,1978,6.8148921189807234,40.218965362757785,13.677334062613031,18222
99,1979,6.826772114712169,39.79574616673671,13.409025193282353,19030
100,1980,6.820780956835789,39.55776240619591,13.082490927923121,19439
101,1981,6.808553739410404,39.8613853714528,13.204681277780411,19466
102,1982,6.80352650048966,40.280986143203535,13.36478597224472,19679
103,1983,6.7698885215406595,41.327442935000235,13.264889032937555,19396
104,1984,6.781282612312551,40.82939267394015,13.299891046325243,19499
105,1985,6.814128795096102,39.64652436072753,13.114019693484957,20075
106,1986,6.8474595674602545,38.82245335375836,12.88473028793517,20640
107,1987,6.877782780163635,38.26295151122137,12.93184809547688,21395
108,1988,6.931213301223779,36.20427455491708,12.25777202668912,22358
109,1989,7.000452272466016,34.07479357317335,11.664503484683214,23767
110,1990,7.0581463160346765,31.98559409505286,11.04008048094147,24713
111,1991,7.1145788415282825,29.91815482785783,10.29701093788562,25104
112,1992,7.174611764256344,27.777991244607087,9.52334197638769,25416
113,1993,7.222184996942745,26.3981762119778,9.08154265469744,25957
114,1994,7.264992249204929,25.048524640390145,8.720905670287989,25997
115,1995,7.298479679804398,23.97556979973953,8.430819947448057,26080
116,1996,7.343938743304574,22.73995284154729,8.059518979862723,26419
117,1997,7.3899540639248675,21.91093249884903,7.97617943844359,26965
118,1998,7.441849473574435,20.91118183768175,7.6935610887977015,27891
119,1999,7.4856413296068816,19.997062096330968,7.433628222691356,28544
120,2000,7.547363850281534,18.776723686079052,7.0861134226121365,29763
121,2001,7.598560154407058,17.802579696940715,6.7526401625538055,30261
122,2002,7.6298957276658514,17.171887935023758,6.528209613814755,30560
123,2003,7.669271239385091,16.46436471983066,6.31940197847053,31173
124,2004,7.726991922884308,15.589480139458978,6.090377656022274,32035
125,2005,7.767112005437123,14.830805892778356,5.737900432787705,32533
126,2006,7.82563821407774,14.013243392347627,5.3347389415921675,34069
127,2007,7.871932676769536,13.486556329845083,5.137105989231744,34931
128,2008,7.9149124332314225,12.86148590190342,4.953813192888126,35045
129,2009,7.9432599421882,12.549062362292087,4.950464662659211,34684
130,2010,7.952190187668811,12.45626545153714,5.04878628998242,34041
131,2011,7.956672526310108,12.294978576439991,5.084719735214836,33869
132,2012,7.972026992330674,12.052754512275317,5.106117031204368,33684
133,2013,7.963629735366713,11.885063258242113,5.038074865956289,33203
134,2014,7.969739887176988,11.591574017221474,4.891052166518489,33044
