Year,Name
1880,1889
1881,1830
1882,2012
1883,1962
1884,2158
1885,2139
1886,2225
1887,2215
1888,2454
1889,2390
1890,2475
1891,2454
1892,2686
1893,2622
1894,2705
1895,2799
1896,2839
1897,2763
1898,2987
1899,2777
1900,3395
1901,2901
1902,3065
1903,3096
1904,3252
1905,3332
1906,3307
1907,3592
1908,3640
1909,3837
1910,4174
1911,4394
1912,5726
1913,6263
1914,7159
1915,8412
1916,8692
1917,8880
1918,9305
1919,9304
1920,9633
1921,9727
1922,9659
1923,9539
1924,9730
1925,9514
1926,9337
1927,9270
1928,9051
1929,8708
1930,8712
1931,8300
1932,8342
1933,8016
1934,8191
1935,8081
1936,7907
1937,7964
1938,8054
1939,7942
1940,7983
1941,8083
1942,8385
1943,8380
1944,8163
1945,8080
1946,8683
1947,9307
1948,9184
1949,9233
1950,9278
1951,9426
1952,9585
1953,9749
1954,9859
1955,9994
1956,10220
1957,10379
1958,10381
1959,10597
1960,10753
1961,11003
1962,10979
1963,11098
1964,11208
1965,10834
1966,11022
1967,11242
1968,11732
1969,12472
1970,13402
1971,13829
1972,14010
1973,14265
1974,14738
1975,15366
1976,15844
1977,16542
1978,16614
1979,17337
1980,17712
1981,17739
1982,17905
1983,17660
1984,17738
1985,18239
1986,18779
1987,19467
1988,20422
1989,21615
1990,22674
1991,23075
1992,23352
1993,23752
1994,23844
1995,23963
1996,24300
1997,24878
1998,25710
1999,26335
2000,27508
2001,27972
2002,28276
2003,28877
2004,29490
2005,30140
2006,31612
2007,32400
2008,32488
2009,32225
2010,31603
2011,31418
2012,31236
2013,30774
2014,30579
